"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"Central Criminal Court","Criminal",2018,"Rape (Including Attempted Rape)","Rape (Including Attempted Rape)",432,716
"Court Of Appeal","Criminal",2018,"Public Order","Public Order",6,6
"Court Of Appeal","Criminal",2018,"Sexual Offences","Sexual Offences",437,555
"Court Of Appeal","Criminal",2018,"Theft/Fraud/Robbery","Theft/Fraud/Robbery",229,333
"Court Of Appeal","Criminal",2018,"Other","Other",170,123
"District Court","Criminal",2018,"Other","Other",69872,58121
"District Court","Criminal",2018,"Sexual","Sexual",2900,2990
"Circuit Court","Criminal Appeals",2018,"Drugs","Drugs",668,1581
"Special Criminal Court","Criminal",2018,"Threaten To Kill","Threaten To Kill",0,0
"Central Criminal Court","Criminal",2018,"Other","Other",187,80
"Circuit Court","Criminal",2018,"Firearms","Firearms",726,829
"Circuit Court","Criminal",2018,"Drugs","Drugs",1801,2129
"Court Of Appeal","Criminal",2018,"Firearms/Weapon/Possession Of Explosives/Ammunition","Firearms/Weapon/Possession Of Explosives/Ammunition",18,32
"District Court","Criminal",2018,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",35261,29656
"Special Criminal Court","Criminal",2018,"Possession Of Firearms/ Ammunition/Explosive Substances","Possession Of Firearms/ Ammunition/Explosive Substances",25,26
"Special Criminal Court","Criminal",2018,"Other","Other",24,31
"Court Of Appeal","Criminal",2018,"Assault","Assault",68,75
"Court Of Appeal","Criminal",2018,"Manslaughter","Manslaughter",0,1
"Court Of Appeal","Criminal",2018,"Murder","Murder",22,28
"Circuit Court","Criminal",2018,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",5826,5761
"District Court","Criminal",2018,"Road Traffic","Road Traffic",215033,169237
"Circuit Court","Criminal Appeals",2018,"Public Order/Assault","Public Order/Assault",1675,4571
"Circuit Court","Criminal Appeals",2018,"Other","Other",2163,5748
"Central Criminal Court","Criminal",2018,"Murder (Including Attempted Murder)","Murder (Including Attempted Murder)",26,39
"Central Criminal Court","Criminal",2018,"Assault","Assault",16,20
"Circuit Court","Criminal",2018,"Assault","Assault",1460,1536
"Circuit Court","Criminal",2018,"Road Traffic","Road Traffic",185,833
"Circuit Court","Criminal Appeals",2018,"Road Traffic","Road Traffic",11087,26484
"Circuit Court","Criminal Appeals",2018,"Sexual","Sexual",17,60
"Circuit Court","Criminal Appeals",2018,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",2464,6246
"Court Of Appeal","Criminal",2018,"Drugs/Misuse Of Drugs","Drugs/Misuse Of Drugs",61,55
"Court Of Appeal","Criminal",2018,"Rape","Rape",213,215
"District Court","Criminal",2018,"Public Order/Assault","Public Order/Assault",41667,34325
"Special Criminal Court","Criminal",2018,"Murder","Murder",1,8
"Court Of Appeal","Criminal",2018,"Road Traffic","Road Traffic",48,49
"Circuit Court","Criminal",2018,"Other","Other",3515,3229
"Special Criminal Court","Criminal",2018,"Membership Of Illegal Organisation","Membership Of Illegal Organisation",1,9
"Central Criminal Court","Criminal",2018,"Sexual Offences","Sexual Offences",541,920
"Circuit Court","Criminal",2018,"Child Abuse","Child Abuse",0,118
"Circuit Court","Criminal",2018,"Manslaughter","Manslaughter",6,3
"Circuit Court","Criminal",2018,"Sexual","Sexual",1503,1609
"District Court","Criminal",2018,"Drugs","Drugs",26563,19374
"Circuit Court","Civil",2018,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",796,796
"District Court","Civil",2018,"Other","Other",5360,3593
"Circuit Court","Civil",2018,"Property (Other)","Property (Other)",288,910
"District Court","Family",2018,"Maintenance","Maintenance",8935,6541
"Circuit Court","Family",2018,"Domestic Violence","Domestic Violence",59,59
"High Court","Family",2018,"Nullity","Nullity",0,0
"High Court","Civil",2018,"Liquidation","Liquidation",82,65
"High Court","Civil",2018,"Bankruptcy Petitions (Creditors)","Bankruptcy Petitions (Creditors)",55,24
"District Court","Civil",2018,"Judgments Marked In The Office","Judgments Marked In The Office",9040,8909
"Court Of Appeal","Civil",2018,"Judicial Review (Other)","Judicial Review (Other)",51,40
"Circuit Court","Civil",2018,"Execution Orders Issued (Court Orders)","Execution Orders Issued (Court Orders)",310,329
"Circuit Court","Civil",2018,"Satisfaction Piece","Satisfaction Piece",70,70
"District Court","Civil",2018,"Personal Injury","Personal Injury",967,454
"High Court","Civil",2018,"District Court To High Court","District Court To High Court",30,11
"High Court","Civil",2018,"Breach Of Contract","Breach Of Contract",318,121
"High Court","Civil",2018,"European Arrest Warrants","European Arrest Warrants",400,132
"High Court","Family",2018,"Judicial Separation","Judicial Separation",31,47
"High Court","Family",2018,"Adoption","Adoption",19,22
"High Court","Civil",2018,"Epo Applications","Epo Applications",209,60
"High Court","Civil",2018,"Judgments Marked In The Office","Judgments Marked In The Office",742,742
"High Court","Civil",2018,"Deed Poll Applications","Deed Poll Applications",895,895
"High Court","Civil",2018,"Personal Insolvency","Personal Insolvency",75,51
"Court Of Appeal","Civil",2018,"Article 40/Habeas Corpus","Article 40/Habeas Corpus",11,12
"Court Of Appeal","Civil",2018,"Family","Family",10,15
"Court Of Appeal","Civil",2018,"Insolvency (Corporate)","Insolvency (Corporate)",1,1
"Court Of Appeal","Civil",2018,"Personal Injury","Personal Injury",50,41
"Court Of Appeal","Civil",2018,"Proceeds Of Crime Act","Proceeds Of Crime Act",1,1
"Court Of Appeal","Civil",2018,"Other","Other",39,47
"High Court","Civil",2018,"Probate: Local Registries","Probate: Local Registries",9004,8862
"High Court","Civil",2018,"Execution Orders Issued (Judgments)","Execution Orders Issued (Judgments)",1002,1002
"High Court","Civil",2018,"Execution Orders Issued (Possession)","Execution Orders Issued (Possession)",28,28
"High Court","Civil",2018,"Commercial","Commercial",161,116
"High Court","Civil",2018,"Chancery","Chancery",1906,584
"High Court","Civil",2018,"Judicial Review (Other)","Judicial Review (Other)",546,494
"Circuit Court","Family",2018,"Divorce","Divorce",3864,3225
"High Court","Family",2018,"Dissolution Of Partnership","Dissolution Of Partnership",0,0
"High Court","Family",2018,"Child Abduction","Child Abduction",37,22
"Circuit Court","Civil",2018,"Mental Health Applications","Mental Health Applications",132,96
"High Court","Civil",2018,"Persons Declared Wards Of Court","Persons Declared Wards Of Court",431,358
"Court Of Appeal","Civil",2018,"Commercial","Commercial",28,27
"Court Of Appeal","Civil",2018,"Company","Company",11,11
"Court Of Appeal","Civil",2018,"Extradition","Extradition",4,5
"District Court","Civil",2018,"Liquidated Debt","Liquidated Debt",18713,10387
"Circuit Court","Civil",2018,"Property (Possession)","Property (Possession)",1433,1813
"Circuit Court","Civil",2018,"Defamation","Defamation",112,20
"Circuit Court","Civil",2018,"Employment (Dismissal)","Employment (Dismissal)",14,29
"High Court","Civil",2018,"Property (Other)","Property (Other)",43,41
"High Court","Civil",2018,"Assault","Assault",113,35
"District Court","Family",2018,"Family Law (Other)","Family Law (Other)",3342,3253
"Circuit Court","Family",2018,"Judicial Separation","Judicial Separation",1238,827
"Circuit Court","Family",2018,"Nullity","Nullity",20,22
"District Court","Civil",2018,"Litigious Enforcement","Litigious Enforcement",2236,2236
"Circuit Court","Civil",2018,"Licensing","Licensing",259,259
"Court Of Appeal","Civil",2018,"Bail","Bail",19,17
"Court Of Appeal","Civil",2018,"Criminal","Criminal",31,20
"Supreme Court","Supreme Court",2018,"Appeals (Legacy)","Appeals (Legacy)",57,61
"Supreme Court","Supreme Court",2018,"Applications For Leave","Applications For Leave",193,157
"District Court","Civil",2018,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",866,866
"District Court","Civil",2018,"Small Claims","Small Claims",3476,2931
"Circuit Court","Civil",2018,"Other","Other",3595,2641
"High Court","Civil",2018,"Personal Injury","Personal Injury",8889,4493
"District Court","Family",2018,"Guardianship Custody And Access","Guardianship Custody And Access",12611,10321
"High Court","Family",2018,"Maintenance","Maintenance",3,2
"High Court","Civil",2018,"Bankruptcy Summonses","Bankruptcy Summonses",105,97
"District Court","Civil",2018,"Licensing","Licensing",41701,41701
"Circuit Court","Civil",2018,"Personal Insolvency","Personal Insolvency",909,1040
"High Court","Civil",2018,"Enduring Powers Of Attorney","Enduring Powers Of Attorney",974,985
"High Court","Civil",2018,"Bankruptcy Petitions (Self)","Bankruptcy Petitions (Self)",382,373
"Court Of Appeal","Civil",2018,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",38,29
"Court Of Appeal","Civil",2018,"Security For Costs","Security For Costs",2,5
"High Court","Civil",2018,"Maintenance (Foreign)","Maintenance (Foreign)",35,13
"High Court","Civil",2018,"Judgments Registered","Judgments Registered",2673,2673
"High Court","Civil",2018,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",992,992
"Circuit Court","Civil",2018,"Personal Injury","Personal Injury",12193,7015
"High Court","Civil",2018,"Revenue To High Court","Revenue To High Court",9,3
"High Court","Civil",2018,"Property (Possession)","Property (Possession)",174,179
"High Court","Civil",2018,"Liquidated Debt","Liquidated Debt",1982,1546
"High Court","Civil",2018,"Proceeds Of Crime","Proceeds Of Crime",35,15
"High Court","Civil",2018,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",530,462
"District Court","Family",2018,"Domestic Violence","Domestic Violence",16599,14761
"District Court","Family",2018,"Child Care","Child Care",13168,9226
"High Court","Family",2018,"Child Care","Child Care",30,20
"High Court","Civil",2018,"Disqualify Directors","Disqualify Directors",2,1
"District Court","Civil",2018,"Appeals To District Court","Appeals To District Court",163,97
"Circuit Court","Civil",2018,"Judgments Marked In The Office","Judgments Marked In The Office",1907,1615
"District Court","Civil",2018,"Maintenance (Foreign)","Maintenance (Foreign)",115,92
"Circuit Court","Civil",2018,"Service Of Documents","Service Of Documents",5010,5010
